Date;Prix
1999-01-10;1282.8
1999-08-10;1336.0
1999-10-15;1247.4
1999-10-22;1301.6
1999-10-29;1362.9
1999-05-11;1370.2
1999-12-11;1396.0
1999-11-19;1422.0
1999-11-26;1416.6
1999-03-12;1433.3
1999-10-12;1417.0
1999-12-17;1421.0
1999-12-24;1458.3
1999-12-31;1469.2
2000-07-01;1441.4
2000-01-14;1465.1
2000-01-21;1441.3
2000-01-28;1360.1
2000-04-02;1424.3
2000-11-02;1387.1
2000-02-18;1346.0
2000-02-25;1333.3
2000-03-03;1409.1
2000-10-03;1395.0
2000-03-17;1464.4
2000-03-24;1527.4
2000-03-31;1498.5
2000-07-04;1516.3
2000-04-14;1356.5
2000-04-21;1434.5
2000-04-28;1452.4
2000-05-05;1432.6
2000-12-05;1420.9
2000-05-19;1406.9
2000-05-26;1378.0
2000-02-06;1477.2
2000-09-06;1456.9
2000-06-16;1464.4
2000-06-23;1441.4
2000-06-30;1454.6
2000-07-07;1478.9
2000-07-14;1509.9
2000-07-21;1480.1
2000-07-28;1419.8
2000-04-08;1462.9
2000-11-08;1471.8
2000-08-18;1491.7
2000-08-25;1506.4
2000-01-09;1520.7
2000-08-09;1494.5
2000-09-15;1465.8
2000-09-22;1448.7
2000-09-29;1436.5
2000-06-10;1408.9
2000-10-13;1374.1
2000-10-20;1396.9
2000-10-27;1379.5
2000-03-11;1426.6
2000-10-11;1365.9
2000-11-17;1367.7
2000-11-24;1341.7
2000-01-12;1315.2
2000-08-12;1369.8
2000-12-15;1312.1
2000-12-22;1305.9
2000-12-29;1320.2
2001-05-01;1298.3
2001-12-01;1318.3
2001-01-19;1342.5
2001-01-26;1354.9
2001-02-02;1349.4
2001-09-02;1314.7
2001-02-16;1301.5
2001-02-23;1245.8
2001-02-03;1234.1
2001-09-03;1233.4
2001-03-16;1150.5
2001-03-23;1139.8
2001-03-30;1160.3
2001-06-04;1128.4
2001-04-13;1183.5
2001-04-20;1242.9
2001-04-27;1253.0
2001-04-05;1266.6
2001-11-05;1245.6
2001-05-18;1291.9
2001-05-25;1277.8
2001-01-06;1260.6
2001-08-06;1264.9
2001-06-15;1214.3
2001-06-22;1225.3
2001-06-29;1224.4
2001-06-07;1190.5
2001-07-13;1215.6
2001-07-20;1210.8
2001-07-27;1205.8
2001-03-08;1214.3
2001-10-08;1190.1
2001-08-17;1161.9
2001-08-24;1184.9
2001-08-31;1133.5
2001-07-09;1085.7
2001-09-14;1092.5
2001-09-21;965.8
2001-09-28;1040.9
2001-05-10;1071.3
2001-12-10;1091.6
2001-10-19;1073.4
2001-10-26;1104.6
2001-02-11;1087.2
2001-09-11;1120.3
2001-11-16;1138.6
2001-11-23;1150.3
2001-11-30;1139.4
2001-07-12;1158.3
2001-12-14;1123.0
2001-12-21;1144.8
2001-12-28;1161.0
2002-04-01;1172.5
2002-11-01;1145.6
2002-01-18;1127.5
